user,Review,SENTIMEN
VanessaFederika1,Dia yg Ter-Baik,positif
lari,BESOK TIKTOK BUKAA AYOO RAMAIKAN TIKTOK UNISTAL SHOPEE GUYS,positif
kintanaaw,Belanja dr rmh ongkir trjangkau,positif
riafin,Sangat baik,positif
ayramaya,Ok,positif
ssasa_brna,"Menurut aku kalian gausah beli kuota di aplikasi ini saldo udah kepotong 2 kali paket kuotanya ga ada nyampe, pengembalian dana pun ditolak dengan alasan pesanan sudah sukses kan gamasuk akal!!!",positif
fanishoffa,Plok,positif
maynanda_12,Good,positif
Laila_aprilia,Aplikasi yang aanhat baik untuk semua.,positif
fasyalnbl,Belanja di sini sesuai di hati,positif
natinantianaa,Good market,positif
Purryfashion,sangat baik,positif
oddeodd,Halo shopee,positif
Helloimdysi,"Yang penting kita lebih cermat lagi membaca,biar tidak kecewa dalam berbelanja.shoppee mantap",positif
Febyarp,tuji ini jkii Iis 8 KK ia kk mmh juuujuy UU yg,positif
anisawln__,"Penilaian di ralat,setelah menggunakan app ini cukup lama ternyata semua bobrok,baik app,maupun jasa kirim sama sama bobrok,tidak ada peningkatan pelayanan jasa kirim yg benar benar bagus selain jne",positif
pjy89,Duh niat pindah hp..mau login ko sulit banget..minta scan QR code..lah mna bisa orang hp nya lagi dpake mau login..kalau gini pindah aja ke si Hijau atu merh..ribettttt,positif
agg15,Shopee the best,positif
naaaad,Semua barang yang di pesan selalu nyampe..dan tidak pernah kecewa,positif
nsdfhtr,terimakasih shopee,positif
Bykviu,Sangat keren cocok untuk berbelanja,positif
fitri_fatimah,Gak seruu.. Pengen dapetin voucher gratis ongkir aja ribett,positif
azmimrivaldi,"It is very bad. Buka shopeepay aja sulit banget , muncul sedang downloading ditunggu sampai 1 jam tapi downloadnya gak jalan-jalan , gimana aku bisa belanja kalau kayak gini?!",positif
autumnsrain,Shopee oh shopeeku knp skrg ekpedisinya ga bs milih yg ada reguler spx lambat apalgi anteraja knp skrg jnt ga pernah ada 😇,positif
fauuu,Banyak penipuan,positif
wiwi_indahlestari,👍 mantap buat belanja karena nggak usah keluar,positif
tasyarabani,Shoppe terpercaya dan amanah,positif
onlyjunp,Sppy nya ok kirir nya yg sring tlat anter smpe 2x gagal ..,positif
feliaadzani_,dengan adanya aplikasi shopee mau belanja online lumayan puas,positif
cindymrlp,Goood,positif
kholifahrifani,Sorry ya gw kasih bintang 1 this is shopee lemot bikin kesel parah bug nya juga banyak perbaiki cepet,positif
Nafisahazeti,"Lebih murah, lebih terpercaya..sangat puas",positif
nyavanyaaa,bagus,positif
salmagemuk,"Pengiriman reguler sangat lambat, harus nya ada opsi ekspedisi yg lain misal jne",positif
sherenagstn,Belanja jadi lebih mudah dan ga perlu cape,positif
ansannda_,"Akhir"" ini rada males yah belanja di shopee...biasa nya gratis ongkir 20k min belanja 30k sekarang gratis ongkir cmn 10k min belanja 30k itu pun GC bs pengiriman dr Jakarta",positif
deynde_,Bgus,positif
bellakosasihh,Blom dapat s pinjam,positif
yuspitashr,"G DULU SEBELUM UPDATE SHOPEE 12.12 SAYA BIASA NYA BELANJA SHOPEE FOOD DENGAN HARGA 21K & DAPAT DISKON VOUCHER, SEKARANG MINIMAL BELANJA MAKAN AJA HARUS 30K DULU BARU DAPAT DISKON, HABIS TUH ONGKIR NYA MAHAL LAGI",positif
windakacaribu,Iklan di mana mana,positif
bintangdiva,"Pelayanan memuaskan, barang sesuai dg pesanan",positif
AnisaGrace,"Mimin walaupun shopee agak mengecewakan sih tapi Nggakpp aku lebih seneng pakai shopee Belanja apa aja ada, apa yang saya butuhkan ada Tapi ada yang penting saya sampaikan Kenapa sih min banyak yang suka jualan tapi barang nya penipuan Semoga di bales Ama Mimin 🤭🥳 Eitss ada lagi inh min Kalau setiap saya pakai voucher nya tuh Ke habisan waktu mulu 🤧😁 Apa saya terlambat ya 😅 Pokoknya shopee the best Mimin juga harus selalu awasi barang penipuan dong!!! Semangat min Saya dukung shopee.",positif
Somiu,Lambat barang nya,positif
nidskinjourney,Okok,positif
Nbilaaaaaa,is the best,positif
michelleanne,sangat bagus,positif
ghany_e,Sebaiknya ada assessment untuk penjual nakal,positif
madeena,"Mau belanja di shopee aja,banyak diskon menjelang akhir tahun",positif
ratunurzahni,Banyak penipuan toko,positif
ria_andriani01,Sngt puas,positif
christinefriskila,Okee,positif
renayku,Banyak pilihan bagus,positif
micka,Maju terus Shopee Indonesia,positif
asiqiin04,Mempermudah penbelian tp kadang suka gk ada voucher gratis ongkir,positif
Michelly_utami,baik,positif
pixiedailys,sangat bagus,positif
azahrabenita,bagus barang murah pun tetap d antar apalagi kalo selalu gratis ongkir mantap sekali😁😁,positif
Katkatykats,"Spx lelet amat pengiriman ke Bali, padahal paket sudah sampe penyortiran hub Denpasar sudah beberapa Minggu paket belum datang dan satu persatu paket di nyatakan hilang oleh kurir,kalo Gini terus bisa berkurang pengguna shoope loh,baru kali ini jasa kirim lelet amat,dulu pernah jnt kaya gini,berarti emang sistem nya lelet ya ?!!!! Jadi malas beli online.!!!",positif
safiraadani,👍👍👍👍👍,positif
SandySetiawan,Maaf hadiah yg saya dapat ko tidak sesuai yg saya terima misalnya saya dapat uang dan uang itu saya belanjakan HP kenapa pada saat di order saya masih harus membayar lagi TOLONG DI JELASKAN,positif
savoerskin,"Hallo min, mohon di bantu untuk akun saya, sudah lama Spaylater dan shopee pinjam saya tidak bisa di pake, untuk transaksi bisa di cek di akun saya🙏",positif
selfianielmansyah,Makin ribet serta banyak biaya tambah saat order barang,positif
iin12,Bagaimana ini aplikasi shopee saya memuat fitur terus dan saat dihubungkan jaringan bermasalah eror -99999. Untuk ram dan penyimpanan sudah dipastikan tersedia maupun internet sudah dicoba jaringan wifi maupun seluler tapi hasilnya tetap sama tidak bisa,positif
DeaSyafitri,Setan ini apk muncul terus jadi iklan ngerusak hape saya,positif
AoDa,Kenapa saya belanja kadang gak bisa cekuot yah?,positif
neysa22,Oc,positif
isnawafiq,mantap,positif
Sella0202,Belanja di Shopee menyenangkan pengiriman tepat waktu bila barang tidak sesuai dengan pesanan bisa ditolak dan dikembalikan tanpa dipungut biaya serta pelayanan kurirnya sangat ramah dan jujur.,positif
nadirajput,Bagus... Murah2 bgt,positif
dewiipusspita,Aplikasi terbaik,positif
agntfrh,Suka app ini deh,positif
sulistianq,Shopee mantap,positif
Kennakeen,bagus,positif
Alviraekas,Sangat membantu untuk sebagian kalangan,positif
mufidasw,Shopee besok aku ulang tahun kaya kamu gk ucapin selamat ulang tahun gitu hehe tapi selamat ulang tahun juga buat shopee,positif
zahraa26,Oke banyak ongkir free,positif
Windyastt_,Oke sip,positif
Kiiiiky,Bagus aplikasi nya membantu bangat,positif
afollelaonda,semoga kedepannya lebih baik lagi dan semakin bermanfaat bagi semua orang,positif
vimalaanjani,Mantap gratis ongkir terus,positif
deaxdea,emang mantabb shopee,positif
mells26,Aplikasi bagus bisa benget untuk belanja online,positif
intenlusy1105,"Udah full platinum tetep aja gk ada gtatis ongkir, gk jauh beda sm silver",positif
Aurauliaa,👍,positif
hanysetyowati92,Shopee lama pengiriman nya,positif
eleanorevangelist,Aku tidak bisa beli,positif
nessaaacaaa,💓❤❤❤,positif
Monicachndra,"Beli hp second po nya bukan maen, serasa beli hp baru launching aja wgwgwg, banyak seller nakal",positif
noviarustyawati,Pas untuk kaum rebahan tinggal pilih langsung pesan,positif
xixiaaa,Pelayanan baik,positif
jenniferhdsn,"Shopee sekarang sistem nya sampah, segala kurir bobrok di pelihara, giliran di komplain gak ada solusi cuma (baik akan kami jadikan bahan evaluasi) dari jaman 2016 begitu. udah gak bisa lagi kerjasama dengan pedagang kecil karena cenderung memihak ke penjual, mendingan tutup aja agar bisa muncul clon bibit unggul platform masa depan yang lebih baik. makasih",positif
fwndrn,Mantap pokoknya dah,positif
jessicayong,bagus,positif
farahfzh,Dapet gratis ongkir,positif
indhiesss,oke,positif
Rasalia,Saya pengguna baru juga baru bikin akun beberapa hari yang lalu dan sekarang malah dibatasi? Apa maksudnya coba,positif
zoyazola,sangat bagus,positif
valkyrie,bagus,positif
titalithaa,Bagus,positif
lucy_,"Kenapa sih spx ga bener, malah di aktif otomatis lagi pengiriman lewat spx, udah bener² sesuai yang kita pilih pengirimannya malah spx aktif sendiri, pelanggan saya kecewa ini Shopee tolong lah😭",positif
dbedbe,mantap,positif
bellefebri,Bagus .tapi ada juga pedagang yg gk amanah.harus selektif,positif
anissyukriyah,Bagus banggey,positif
ayugeajuyu,sip aplikasi ini dangat membantu,positif
Hasanahrp,Pengiriman cepat dan hasilnya sesuai,positif
pratiwiayuu_,Okke,positif
arlinrssn,Bagus,positif
Ayuoktiviani13,"Mantap min, trs semangat yah",positif
neybuci,Cara belanja yang praktis Dan banyak pilihan pembayarannya,positif
garligar,Oke,positif
Tsywlndr,Semoga kuponnya terus bisa di pakai tidak kayak yg sebelah mau pakai kupon gratis ongkir malah error.,positif
skinazs,"belanja di shopee enak walau sudah kirim duit ttp bisa kembali kalau gak cocok, pokoknya mantab",positif
gwennie,Ok,positif
ayutrianah,Belanja apa aja ada,positif
Sriif,Jual beli online aman,positif
joisoktvn_,good,positif
journalskincare,Kacau,positif
rosmaliatuzi,"Ok,mantap",positif
dianafryanti,bagus,positif
Putriiiangelinaaa,"shopee sekarang pelit, udah ga pernah kasih gratis ongkir lagi setiap hari.. kasih gratis ongkir paling cuman pas event, tiap bulan 🤨 tolong lah shopee untuk para pelajar yang ingin beli sesuatu yang harga nya murce kasih gratis ongkir lagi tiap hariiiiiiiiii",positif
DDDara,Bisa di percaya,positif
adesahara,Kuwalitas bagus,positif
rismaprili20,Di situ tertera gratis ongkir 0rupiah tapi yg kepotong ongkir nya cuma 10.000,positif
enjieml,sejauh ini masih ok,positif
radivanh_,Baik,positif
alanifrzn_,sering gangguan tolong diperbaiki lagi aku kasi bintang 3 dulu,positif
elgaadiva,"muncul teruuuuss ganggu banget,klik link muncul klik link muncul...saya suka belanja disini tapi jadi ilang respect karen ganggu..",positif
aanisawu,Yaa,positif
raniajuoni,Sip dah!!!?,positif
Happyaprilia,Belanja disini lebih meyakinkan,positif
juliaanida,Terlengkap dan terjangkau,positif
rachelherlinda,"Mantap, tingkatkan gratis ongkir",positif
rafzahhh,Bagus sih tapi kalo Paketnya pake jasa anteraja parah selalu melebihi batas Estimasi.. Dijamin sampai bosan minta2 barang kita sendiri..,positif
jfemale,Sangat membaik,positif
Hainoppp,Shoppe orang mau nyari uang ada aja kendala tolong diperbaiki lagii soal live itu jangan yang rame tambah rame yang sepi tambah sepi seolah udah dibayar aja sama yang rame makin gak jelas sistemnya!!! Diperbaiki apa ditinggal Shoppe gak jelas ini,positif
sava_aulia12,Sangat bagus,positif
anisaroh,"Makin mahal ya biaya adminnya. Lama"" jadi brapa tuh.",positif
girlout,Makin lemot aja transaksi,positif
_thessalonika,"Iklannya ada dimana mana,, aplikasi ampas",positif
putrimaesa,Puas blanja di shopee,positif
rizkintanprmt,Bagus tampa iklan dan pengiriman nya bagus dan **************************🤜🤛👍👍👍👍👍,positif
User,Aplikasi berat lemot buka nya. Saya kira hp saya. Tapi untuk buka lazada cepat ringan.,positif
puuterinc,Mantap,positif
abelinaa,"Sangat membantu sih, buat ibu2 pekerjaan seperti saya",positif
Ana_May,"Luqmayan sih barang barangnya, cuman yg engeselin ito loadingnya! Kan barang di keranjang ada 200an aj di hapus tapi waktu menghapus satu² lama banget hapusnya terus biasanya di suruh engulang dan gak bisa di pencet! Jadi aku kasih bintang 3 aj dan tolong di perbaiki! mungkin lain kali aku bisa kasih bintang 5.",positif
noeryati_,Shopee sdh bagus.cm lbih d perhatikan para agenny msh ad aj yg jual barang tdk sesuai sm deskripsi yg tertera pas d konfir ad aj alasanny.,positif
Melisnagustiani,Aku pesan nomor yang 10digit dishopee gak ada sinyal dan gak aktif bagaimana itu,positif
verginita_,baguss,positif
Saraahd,baru juga 2x pembelian barang lancar. eh malah dapat prduk gagal toko. tapi mau refund saja susah,positif
argitachance,shopee mantaap,positif
aulisfa,sering sering adakan promo,positif
Mellinda_03,Di aku pas buka Shopee cmn kedap kedip layarnya,positif
Ninadwi07,Goodluck,positif
Virdhiaronay,awalnya ragu belanja di shopee setelah dicoba... belanja di lihat langsung di live maka semakin yakin dan enak belanja disini... kualitas barang sesuai dengan yang dipesan....🥰🥰,positif
rizqazidny,👌,positif
adindaraissa00,"Shopee expres hanya slogan,, pengiriman lamaaa sampai,,kurir kurang ajar tidak ada pembinaan dari shopee,barang tidak di antar dengan berbagai alasan dan akhirnya barang di retur ,padahal sudah di tunggu hampir satu bulan 😡",positif
Rifky_30205,Amanah sellernya,positif
salsabilita,cepat,positif
tirtaaningtyas,Sangat terbantu sekali belanja di Shopee dan sangat baik,positif
Fitrilutfiyani9_,Luar biasa,positif
divaazka,Shoppe kenpa bisa gak di download ya kak tolong kasih saran dong kakak admin,positif
Nurmarcu,Bukan,positif
dianayumaha,Nice,positif
fadilabalqies,pengiriman sangat lambatt,positif
desnataza,tolong kok sekarang ada seabnk smpek sya bingung belinya,positif
missindriii,"lebih di permudah lagi..untuk semua pemesanan,pilih barang,dan percepatan pengirimannya..trimakasih",positif
hildamusya,"Hai kakak admin, min mau tanya kenapa kalo ongkir ke Kalimantan mahal min gk kayak di Jawa dan sekitarnya kami disini ongkirnya sampe 60+",positif
vaniaadwitya,Good luck,positif
bonitasucelaw,Makin di upgrade kok makin lemot sih...mohon untuk d perbaiki lagi😊,positif
Tiarauswatun24,"Tooooop cer, bgs bangeeeet,memuaskan",positif
Zuliacitra17_,"Ok, harga barang murah, bisa lgsg dr tangan pertama lgsg ke pembeli, gratis ongkirnya pun ada, makasih Shopee",positif
tria07,👍,positif
lubnarn24,Sangat membantu,positif
Zulfiaarifah,Aplikasi yg paling bagus dan terpercaya,positif
odreyisheree,Shoppe mimang oke banget👍👍👍,positif
dianekaaaaaa,Jos gandos👍,positif
muliana123,Puas atas pelayanan nya,positif
Citramsfrh,Spay dinonaktifkan cuma karena telat bayar sekali. Aneh sekali. Udah mengajukan mengaktifkan ulang ttp gabisa,positif
awansurya,"Demi kebaikan aplikasi ini,fitur shopeefood double order tolong dihapus karena sangat merugikan pelanggan, nunggunya lama banget, tolong dihapus",positif
lalalita20,"Parah... Jasa pengiriman SPX udah lama, ga jelas kapan nyampe, ga bisa di cancel pula. Giliran barang dibalikin otomatis ke toko, gw sebagai pemesan yang ga tau mesti ngapain malah dikasi notif peringatan dari shopee.",positif
dinda13,"Jelek bgt pengiriman nya. Mana tambah mahal, bukannya ada perbaikan malah tambah payah",positif
Fazashafa4,aplikasi belanja favorit 🤩🤩,positif
nramadhanis16,good,positif
Anisafadhilah85,Bisa kredit gk di Shopee.. Klo bisa sya tambah lagi bintang'y🙏,positif
sarahdf,"Suka sama aplikasinya banyak barang diskon dan murah murah, setiap beli di sini barangnya selalu aman",positif
rinas_yahzunka,Sangat luar biasa apk shoppe,positif
dinaramdhanii,Shopee mantan,positif
amarangganaratih,"tak kasih 3 dulu. apk si ok cukup membantu' cuman untuk dapet limitnya tu ribet bgt,, padahal sini kan juga kalo dpet limit juga buat belanja kan,, kenapa di persulit",positif
Fitridestiana_0705,Siiip,positif
Nasrilia12,Shopee ko enga bisa COD sih padahal aku pengen beli ini itu tapi enga bisa COD tolong di perbaiki ya apelikasi biar bisa belanja COD,positif
ratnamont,"Kanapa ya ka akhir"" Ini ongkirnya naik 10 kali lipat ya padahal lagi 12 12 ya",positif
riann_nc,"Wkwk, makin ga jelas dengan shopee videonya, udah ternodai apk ini , semoga adminnya bisa memperbaiki hal ini",positif
taradwipaa_,Barang dan waktu bagus,positif
Atimfm,Sangat bagus,positif
aik_039,Passs..sipppp.. jangan sampai mengecewakan y shopee,positif
shopholicana,sangat puaa,positif
lulunurmalitasari,Oke,positif
li_maulida,"Baru kali ini ngerasain kesel banget belanja online, semenjak shopee hanya menyediakan jasa kirim oleh SPX jasa pengirimananya jelek banget. Barang saya udah 3x di kembalikan ke penjual dengan alasan penerima tidak ada dan tidak bisa di hubungi. Padahal saya pernah sengaja menunggu tidak ada kurir yang datang tiba tiba pengiriman paket di batalkan, ditambah lagi keterangan penerima tidak bisa di hubungi padahal tidak ada sekalipun telpon dari kurir. Makin males lama-lama belanja di shoppe.",positif
WafaUlfa,"Shopee bagus dan murah meriah,pengiriman cenderung cepat dan aman terima kasih Shopee",positif
raaya,Ok,positif
Sasqiyaa,terima ksih sopi,positif
aldonna,Trimaksih shopee,positif
tisaainiii,Saya sangat puas belanja pake shopi,positif
desnikaputrii,Sangat puas belanja di shopee,positif
ginagaryn,"Mohon dikasih menu bayar sesuai barang yang beli kalau shopeepaylater, biar bisa menarik pelanggan buat paylater lebih banyak lagi min.",positif
rizkykio,Sangat bagus,positif
ginapembayun,"Punten,merayakan kembalinya tito shop abisnya shopee affiliate banyak drama",positif
dianekaaa,Aplikasi olshop yg terpercaya,positif
Shella18,Dari dulu saya belanja di sopi memudah kan segala nya...,positif
Odenanda_ch,Shopee sllu di hati,positif
lira_00,"Saya belum pernah belanja di shopee,karena tak pandai on-line belanja",positif
destiara_nrb,"Semenjak pakai Shopee express, pelayanan sangat buruk, dan paket se enak nya saja dikirim kembali kepenjual tanpa ada pemberitahuan dan menghubungi pembeli.",positif
leoai68,kren,positif
Yuliaasri,Belanja makin mudah,positif
Violetha,Payah tidak cod,positif
dewirahma,Shopee isthebest,positif
Sophia,bagus,positif
notyourgif_,Kenapa gk bisa buat checkout,positif
tifabellatrix,gratis ongkirnya dikit banget,positif
dinarudinar,Aplikasi lemot. Pengiriman pake Shopee expres kurir juga lemot. Payahhh,positif
devitahaerany,Oke,positif
firdaindahhh,Good,positif
sekarwandira,Mantap & Ok untuk belanja online,positif
rilakumabear,mantap kali shopi.belanja jadi.hemat..suka kali pokoknya🥰,positif
Uhhoney,Mantab shopee bikin mudah untuk belanja,positif
Kayra,Lambat koplo,positif
Ekaputrinovi,Sippp👍🏻👍🏻,positif
apriliaadym,Good,positif
ddianaml_,Ok,positif
akangskincare,Sangat membantu,positif
niaraa17,Jadi males belanja isi saldo lewat Indomaret kok biaya adminnya naik terus sih 2000 kok ini naik lagi pas 12.12 jadi 3500,positif
lalalalintang,Cukup puas dgn apk shopee,positif
paofitria,belanja aman dan nyaman.,positif
Rvtleonaa,"Mau nonton shopee live malah ga bisa di download fiturnya,udh di tungguin lama tetap ga jalan download-annya",positif
Eltiaa,Bagus,positif
Regitaekaw24,"Bu,",positif
Leoniwulandari,Buat spinjam kenapa limit akun saya gk bertambah ya,positif
hai_ninie,sangat membantu untuk shopping,positif
putry2_,membantu,positif
aghindaau17,Bwgus,positif
galuhayuning,Terimakasih Shopee..selama ini baik sekali.. saya telah ditambahkan limitnya.. sukses selalu Shopee..,positif
sasanszz,gabisa dibuka,positif
ratnakartika04,"Oke,banyakin gratis ongkir lah min hehe",positif
dewsimangunsong,Tolong hapus JNE dari ekspedisi yg bekerja sama dengan shopee. Sudah beberapa kali kecewa dengan ekspedisi tersebut,positif
alfaniamaulidaa,Shopee banyak disconya + gratis ongkir,positif
indrianingor,Tolong ini gimana caranya kok buka shopeepay malah suruh redownload your app.udah download ulang tetep gabisa buat buka shopeepay.,positif
dhanista,"Shopee sangat membantu peralatan didaerah yg tdk terjangkau,..",positif
amiiiamii,Mantap,positif
felisitasmp,"Kurir SPXnya males nganter paket, estimasi tiba tanggal 5-6 tapi sampai sekarang (tanggal 11) paket belum sampai juga, di komplain malah suruh nunggu doang tapi masalahnya ga kelar-kelar",positif
repaaa,Viok,positif
Nayla1,Kon**l,positif
irmanandaar,NO GOOD,positif
jessicaivena,Pokoknya saya puas belanja di shopee,positif
Ces_Sasa,sangat puas,positif
aeylinz,👍,positif
Dinyess,"iklan nya sangat mengganggu , gimana ini masa harus uninstal apk nya!!!",positif
devmybaby,Sekarang kok sponsor sangat menggangu selalu muncul di layar pembuka utama... Tolong jangan ditancap dilayar kak masak mau angkat telp ... Di tombol kembali tlp ikut mati kan gak lucuuuuuuuu🐷,positif
aryoff,dengan shopee pay segala pembayaran jadi lebih mudah dan menguntungkan,positif
uzdahraninditaaa,Untuk saat ini shopee bagus yah cmn kadang ada toko yg gak amanah tolong diseleksi lagi,positif
DextordAngel,Shoppee ga kaya dlu mesen apa apa tepat waktu,positif
evatrimaria,Aplikasi anjing iklan nya mengangu,positif
giselarose,Bagus,positif
zurasaaq,Belanja di shopee sangat memuaskan,positif
alleviatte,Sangat baik,positif
nprills,"Tolong wlau diupdat size jangan ditamabahin ya biar memo sya tetap cukup , apk nya bgus kok👍",positif
rayyafai,Mntp apk ini sngt membantu,positif
Zattaani,"Belanja apapun dengan harga yg lumayan murah, cuma di shopee. Tiap bulan banyak ada promonya",positif
anandaanay_,Tolong fitur buyer yang bertuliskan pengajuan pembatalan dibatalkan itu diganti pembeli order kembali biar tidak bingung. saya sebagai seller harus membatalkan sendiri sehingga kena point pinalty,positif
mutiazzahra,Sip banget,positif
lyalexii,"Pesan aku terkirim g bisa dihapus, jadi kesal , kata orang klo lbh 10 mnt g bisa pdhl ini baru saja d krim, 🤬🤬🤬",positif
andinabila,"Hai, tolong dibenerin ya. Ini saya tidak bisa log in ke akun saya katanya sih saya tidak mematuhi kebijakan Shopee. Dan alasannya saya membagikan kode OTP ke orang lain, padahal sama sekali tidak. Gara gara ini saya tidak bisa log in ke akun saya. Dan tidak bisa membeli barang barang.",positif
riyananugraheni,👌,positif
Haurahanin,Belanja di shopee cukup membantu saya dalam mencari produk yang bagus dengan harga yang terjangkau,positif
divaam,good,positif
Ayiputri_,biaya admin buat ngisi di indomaret mahal bgt🥲,positif
carecare,Mantap aplikasi nya,positif
shintaalya,Shopee membantu bgt belanja oneline,positif
mfh19,Keren,positif
dnshkylaa,bagus sekali👍,positif
Astriash,Ok,positif
Ayunindya9,Selalu puas,positif
fhiaaa,"Tolong Resto""nya di tindak, harga nasi & ayam bakar di lokasi 20rb free minum, pas beli di Sfood hrgnya 47rb ayam bakar saja apakah itu masuk akal blm termasuk ongkir jg, kuras terus uang pengguna lu, SEMOGA CEPAT KENA AZAB NIH APK, keuntunganmya banyak bngt 😡😡😡",positif
puspaningtyas,Layanan shopee keren Cuman ketika COD beberapa kali tiba barang dikembalikan tidak dikirim,positif
icha51,"Bisa untuk semuanya, melayani dengan teliti dan keamanan barang terjamin 👍",positif
DessertZumb4_,"Pelit ongkir, bonus sedikit, mending belanja di toko biru,...",positif
Kirana_Silkia22,Kenapa sekarang voucernya susah buat di gunain...dah gitu masih ada biaya penanganan...masa iya customer malah dibikin susahh,positif
ulfiiiie,Shoppee kelamaan fitur cod nya ga bisa hidup shoppee jelek,positif
Ludiaaaa,Wow,positif
syasyanna,Mudah berbelanja,positif
callmealh,Bagus,positif
OliviaAngellica,Shope memang mnguntungkan murah dsn memuaskan,positif
kedipa,Aplikasinya bagus g sia sia di donwlod,positif
annisazizahh,Sangat membantu Terima kasih shopee,positif
Dnihasna,Alhamdulillah kami sekeluarga mengucapkan terima kasih,positif
naturinalarisati,Sangat bagus..,positif
putrinur44,mantap,positif
City_girl,Murah saat berbelanja dan mudah,positif
Tyara_17,Ini aplikasi bagus banget banget banget,positif
armewoo29,"Kesel, apa apa harus di download dulu😭",positif
purplefav,pelayanan makin jlek,positif
reginasaskia,"Info dong min, saya pernah ada tagihan paylater dan saya telat 3 4 hari buat bayar tagihan , tapi saya sudsh bayar tagihan itu , tapi paylaterku di nonaktivkan sementara sama buat beli2 barang jadi ga bisa gimana yaa",positif
zhafiranisha,Trima kasih buat shopee Belanja pertama tapi amanah dan memuaskan,positif
nellyngl,mantap,positif
unlovingway,Mulai dasar shoppe bagoy setiap update apk suka ribet anjir mau bayar ini itu harus download mulu Ribet Jing.... shope,positif
jeundukieee,Wahh terima kasih min,positif
mramellia,Makin kacau aja shopee..saldo shopeepay gua cukup buat co barang..tp malah dialihin ke metode cod mlu..PAYAH LAMA2,positif
mynamesfrida,"INI SAYA SANGAT KESAL LAGI NELPON,LG CHATTAN ADA IKLAN PADAHAL GAK DI DOWNLOAD😡😡😠",positif
fadillahdwis_,mantap bosku,positif
tipa95,Bagus,positif
_Ameliaefendi97,Belanja lebih mudah dan selalu puas dgn hasilnya,positif
agitadnprmt,sangat memuaskan,positif
Soniaaa13,"Banyak penipu yng jualan di Shopee ,pelayanan costumer kurang cepat lambat",positif
elizabeth2796,Mantap,positif
normafauzia,shoopee oke,positif
pitiiazzh,Pengiriman nya terlalu lama sudah dikemas tp pengantaran lamanya minta ampun apa lagi pas pengambilan barang mana butuh 2 hari kocak dah:),positif
geviay,"Kenapa shoope kl mau ganti metode pembayaran hrs kena ongkir yg g kira"" yg bs melebihi barang yg mau di co,.JD nya g co deh karena mahal di ongkir",positif
Ashillataniaa,"aplikasi shopee,yg menurut aku sih lumayan bagus,, buat yg mager,, tapi pengen belanja tinggal pesan ,tunggu di rumah deh.",positif
theonlyber,"Good, belanja gak pake ribet bisa dari rumah tanpa harus pergi jauh tuk kebutuhan sehari-hari",positif
PUJI2704,Bagus banget,positif
Dina_Septi,Memuaskan👍👍👍,positif
LarosiNG,baguss,positif
Wulan_ayvv,ecomerce terbaik,positif
Dhea_evanda,Shopee Pelayanannya terbaik,positif
tsaniarays,Shopee sangat bagus dan mantap habis,positif
vefadina,Bagus aplikasinya,positif
dindaaditi,Aplikasi kadang suka lambat,positif
Anggie_Debiya,Saya sangat puasss🔥,positif
resitavendaaa,Good job,positif
jeanyth,Ongkir nya sangat mahal lebih murah toko online lain,positif
nailedteen,apk nya sangat bagus....tapi mohon kurangkan iklannya yaaa,positif
yayaskim,Mantap,positif
nisasyahida18,Pantun: Burung merpati terbang tinggi.. Gratis ongkir yang ku nanti.. Belanja di shopee Pasti Happy... Mitra shopee semakin di Hati...,positif
Atika_Cahya,Serba Mudah di era digital Pakai Shopee,positif
ayu_ratnasari,"Baru download Shopee, mau belanja kok ada tulisan promo ga berlaku itu maksudnya apa ya bngst?",positif
Natha_Hood,"Sekian tahun memakai aplikasi ini, dengan format hemat, pengiriman barang awalnya baik-baik saja, bahkan lebih cepat 4-5 hari dari batas akhir waktu estimasi.. Namun beberapa bulan terakhir, terjadi keterlambatan 2-3 hari.. Ada apa sebenarnya ???",positif
safaranuansa,Baik semangkin majulah...,positif
spasha,mantab,positif
Heraldnee,"Alhamdulillah senang dengan apl shoppe ,, belanja juga jd nymn , aman tanpa ribet ..",positif
ahnssra,Makin kesini makin jlek pelayanan nya apalagi kurir spx nya .estimasi 3 hari malah paket sampai 2 Minggu baru Dateng🤣🤣🤣ups,positif
eruteha,bagus,positif
lregyina,Perlu peningkatan kualitas,positif
rinsapriana,Kenapa ini akun shopee ketika di buka malah kelap kelip gabisa di buka akunnya?,positif
ichaauliasanit,"Shopee dari dulu selalu pakek aplikasi ini, belanja apapun pakek aplikasi ini, tapiii kok sekarang pengiriman cuman bisa SPX, please lahh SPX tuh lama banget, bisa diaa sedang ke alamat tujua selama 3 hari padahal jarak kantor ke ruma cuma 10 menit, ngacok banget ini SPX, Hapuskan ajalah SPX TUHHH BIKIN EMOSI TIAP HARIII!!! Kurirnya pada malas ngantar, jfi please hapuskanlahh SPX tuhhh, GAJELAS!!!",positif
vanniasafhira,"Kenapa gk bisa co mau cari barang juga susah,kenapa ya apa krna sya bolak balik hapus instal,karena hp yg kmarin rusak",positif
desti222,Kiriman cepat dan sesuai,positif
witawp,Terima kasih untuk responnya,positif
Gakky,Oke sekali,positif
herpiana_,Mantapaz👍👍👍,positif
